"","Name","Rating","latitude","longitude","price","review_count","categories"
"1","The Breakfast Klub",4.5,29.73843,-95.38048,"$$",3627,"Breakfast & Brunch Southern"
"2","JINYA Ramen Bar",4.5,29.742755,-95.379845,"$$",2485,"Ramen"
"3","Uchi",4.5,29.74493,-95.39091,"$$$",1677,"Sushi Bars Japanese"
"4","Local Foods",4.5,29.7195096809181,-95.4164240674591,"$$",1422,"Sandwiches Vegetarian Delis"
"5","Common Bond Cafe & Bakery",4,29.7428969,-95.4023708,"$$",1788,"Cafes Bakeries Breakfast & Brunch"
"6","Snooze, an A.M. Eatery",4,29.74395,-95.39092,"$$",1803,"Breakfast & Brunch"
"7","Barnaby's Cafe",4.5,29.7483,-95.38828,"$",1201,"Breakfast & Brunch American (Traditional)"
"8","Peli Peli",4.5,29.7397965769971,-95.4640101607907,"$$$",1364,"South African American (New)"
"9","Velvet Taco",4,29.7700614929199,-95.4101257324219,"$",1700,"American (New) Tacos Breakfast & Brunch"
"10","Axelrad",4.5,29.7350082397461,-95.3748245239258,"$$",825,"Beer Gardens Beer Bar Music Venues"
"11","Luna Pizzeria",4.5,29.7350980889096,-95.4177527502179,"$$",792,"Pizza"
"12","Yoyo's Hot Dog",4.5,29.7162012025613,-95.4146640004135,"$",618,"Hot Dogs Food Stands"
"13","Kata Robata Sushi & Grill",4,29.7335727255874,-95.4194910185242,"$$$",1248,"Sushi Bars Japanese Asian Fusion"
"14","Stanton's City Bites",4.5,29.770945,-95.372068,"$",982,"Burgers American (Traditional) Sandwiches"
"15","The Pit Room",4.5,29.7342352703345,-95.3939679771603,"$$",1079,"Barbeque"
"16","Niko Niko's Greek & American Cafe",4,29.74651,-95.39218,"$$",1813,"Greek Mediterranean"
"17","Oporto Fooding House & Wine",4.5,29.7531384239378,-95.3802139853275,"$$",746,"Tapas/Small Plates Portuguese Wine Bars"
"18","Aladdin Mediterranean Cuisine",4.5,29.745032,-95.391123,"$$",956,"Middle Eastern Mediterranean Cafeteria"
"19","Local Foods",4.5,29.7425611,-95.4181027,"$$",728,"Salad Sandwiches American (Traditional)"
"20","Fat Bao",4,29.7351499099632,-95.4181346297265,"$",1432,"Asian Fusion Ramen"
"21","Saint Arnold Brewing Company",4.5,29.77109,-95.34841,"$",603,"Brewpubs American (New) Beer Gardens"
"22","North Italia",4,29.7485868638914,-95.4620253208921,"$$",1215,"Pizza Italian"
"23","Backstreet Café",4,29.75533,-95.40863,"$$",1225,"American (New)"
"24","Luigi's Pizzeria",4,29.735367,-95.374622,"$",983,"Pizza"
"25","Bombay Pizza",4,29.75773,-95.36496,"$$",1026,"Pizza Indian Vegetarian"
"26","Ono Poke",4.5,29.73431,-95.38741,"$$",670,"Poke Hawaiian"
"27","Masraff's",4.5,29.74813,-95.46087,"$$$",804,"American (New) Seafood"
"28","Steak 48",4.5,29.74269,-95.45309,"$$$$",775,"Steakhouses Seafood Bars"
"29","Gyu-Kaku Japanese BBQ",4,29.7505917766388,-95.3753622367706,"$$",1085,"Japanese Barbeque Tapas Bars"
"30","Hugo's",4,29.74317,-95.39977,"$$$",1132,"Mexican Breakfast & Brunch"
"31","Tacos Tierra Caliente",4.5,29.73829,-95.40826,"$",722,"Food Trucks Tacos"
"32","benjy's",4,29.719421,-95.416392,"$$",1037,"Lounges American (New)"
"33","Les Givral's Sandwich & Café",4,29.745506,-95.3768966,"$",1106,"Vietnamese Sandwiches"
"34","Hearsay Market Square",4,29.763046,-95.3615717,"$$",1491,"American (New) Gastropubs Cocktail Bars"
"35","Empire Cafe",4,29.742905,-95.403542,"$$",1428,"Coffee & Tea Breakfast & Brunch Pizza"
"36","Bosscat Kitchen & Libations",4.5,29.7415934,-95.4511389,"$$",858,"American (New) Whiskey Bars Southern"
"37","Vic & Anthony's Steakhouse",4,29.7570194980525,-95.3581523895264,"$$$$",805,"Steakhouses American (New)"
"38","Huynh Restaurant",4,29.75179,-95.35552,"$$",771,"Vietnamese"
"39","Anvil Bar & Refuge",4,29.74311,-95.39691,"$$",892,"Cocktail Bars Whiskey Bars"
"40","Torchy's Tacos",4,29.7439741087109,-95.4106315819274,"$",1264,"Breakfast & Brunch Tacos"
"41","M&M Grill",4.5,29.70125,-95.38558,"$",627,"Mediterranean Mexican Burgers"
"42","Ritual",4,29.78193,-95.38735,"$$",1011,"Southern American (New)"
"43","Caracol",4,29.7433633233118,-95.4613215925904,"$$$",894,"Seafood Mexican Breakfast & Brunch"
"44","The Original Ninfa's on Navigation",4,29.7569013,-95.3424027,"$$",1136,"Mexican Tex-Mex"
"45","Roostar Vietnamese Grill",4.5,29.7313151,-95.4751706,"$",461,"Vietnamese Sandwiches"
"46","El Bolillo Bakery",4.5,29.809914,-95.382387,"$",380,"Bakeries Desserts Patisserie/Cake Shop"
"47","Kenny & Ziggy's New York Delicatessen",4,29.7429019,-95.4608651,"$$",1052,"Delis American (Traditional)"
"48","SeaSide Poke",4.5,29.7501531437211,-95.3561897076783,"$$",345,"Poke Hawaiian"
"49","Agora",4,29.742984,-95.40258,"$",1014,"Coffee & Tea Wine Bars Cafes"
"50","Boomtown Coffee",4,29.8027601,-95.400941,"$",707,"Cafes Coffee & Tea"
"51","Diced Poke",5,29.739003,-95.380113,"$$",256,"Hawaiian Poke"
"52","Paulie's",4,29.7428749,-95.4064275,"$$",695,"Sandwiches Italian Coffee & Tea"
"53","Gyro King",4.5,29.69832,-95.38767,"$",640,"Food Trucks Juice Bars & Smoothies Halal"
"54","SweetCup",4.5,29.73745,-95.39069,"$",419,"Ice Cream & Frozen Yogurt Coffee & Tea Gelato"
"55","Eddie V's Prime Seafood",4.5,29.7402734338612,-95.4190848558197,"$$$",550,"Seafood Steakhouses Lounges"
"56","Southside Espresso",4.5,29.7449340820312,-95.3907241821289,"$",442,"Coffee & Tea Wine Bars"
"57","Sweet Paris Crêperie & Café",4,29.717649,-95.4158516,"$$",882,"Creperies Cafes Sandwiches"
"58","Tacos A Go Go",4,29.7383884,-95.3798736,"$",807,"Mexican Tex-Mex"
"59","Ray's Bbq Shack",4.5,29.7026499,-95.3567173,"$$",552,"Barbeque Seafood Sandwiches"
"60","Aka Sushi House",4,29.7386449,-95.4161434,"$$",1035,"Japanese Sushi Bars"
"61","Gumbo Jeaux's",4.5,29.779064,-95.41116,"$",538,"Cajun/Creole Sandwiches Burgers"
"62","Tout Suite",3.5,29.7586713680944,-95.3505267137113,"$$",1262,"Cafes Coffee & Tea Desserts"
"63","Ambrosia",4,29.731809,-95.409689,"$$",773,"Tapas/Small Plates Asian Fusion Wine Bars"
"64","The Blue Fish Bayou Place",4,29.7620117022974,-95.3664868883606,"$$",765,"Sushi Bars Japanese Asian Fusion"
"65","The Burger Joint",4,29.74533,-95.39118,"$$",823,"Burgers Hot Dogs Sandwiches"
"66","Pho Saigon",4,29.7451191,-95.3774719,"$",829,"Vietnamese Soup"
"67","Karbach Brewing Company",4,29.8058455139118,-95.4605258888855,"$$",691,"Breweries Gastropubs Venues & Event Spaces"
