"","Name","Rating","latitude","longitude","price","review_count","categories"
"1","Levain Bakery",4.5,40.7799404643263,-73.980282552649,"$$",7090,"Bakeries"
"2","The Halal Guys",4,40.7617559582706,-73.979229927063,"$",9050,"Food Stands Middle Eastern Halal"
"3","Ippudo NY",4,40.73092,-73.99015,"$$",9572,"Ramen"
"4","Katz's Delicatessen",4,40.72222,-73.98751,"$$",10231,"Delis Sandwiches"
"5","Los Tacos No.1",4.5,40.7425547,-74.0060838,"$",2488,"Tacos"
"6","Bibble & Sip",4.5,40.76282,-73.98518,"$",3967,"Coffee & Tea Bakeries"
"7","Burger & Lobster",4,40.74007,-73.99344,"$$",4649,"Seafood Burgers American (New)"
"8","Gramercy Tavern",4.5,40.738527,-73.988417,"$$$$",2660,"American (New)"
"9","Doughnut Plant",4.5,40.7163944930004,-73.9886098620298,"$$",3071,"Donuts Coffee & Tea"
"10","Shake Shack",4,40.7414000197233,-73.98815019045,"$$",5492,"Burgers Food Stands Ice Cream & Frozen Yogurt"
"11","Peter Luger",4,40.709945,-73.962478,"$$$$",5042,"Steakhouses"
"12","Best Bagel & Coffee",4.5,40.7522683,-73.9910861,"$",2552,"Bagels Coffee & Tea Breakfast & Brunch"
"13","Le Bernardin",4.5,40.761557,-73.981763,"$$$$",2283,"French Lounges"
"14","LoveMama",4,40.7303859,-73.9860613,"$$",3702,"Thai Malaysian Vietnamese"
"15","Clinton Street Baking Company",4,40.721128,-73.983933,"$$",4374,"Bakeries Breakfast & Brunch American (Traditional)"
"16","Two Little Red Hens",4.5,40.777528,-73.9517869,"$$",2324,"Bakeries Desserts Coffee & Tea"
"17","Prince Street Pizza",4.5,40.7229087705545,-73.9944863319397,"$",2303,"Pizza Italian"
"18","Buddakan",4,40.7422762672197,-74.0048000961542,"$$$",3625,"Chinese Bars Asian Fusion"
"19","Dominique Ansel Bakery",4,40.72522,-74.00291,"$$",3972,"Bakeries Desserts"
"20","Eataly",4,40.74195877796,-73.989716662832,"$$",5130,"Italian Grocery Cafes"
"21","Chinatown Ice Cream Factory",4,40.715452,-73.99818,"$",2563,"Ice Cream & Frozen Yogurt Desserts"
"22","Lombardi's Pizza",4,40.72164,-73.9957,"$$",5704,"Pizza"
"23","Totto Ramen",4,40.7643285462369,-73.9876558773155,"$$",5019,"Ramen"
"24","Club A Steakhouse",4.5,40.76006,-73.96557,"$$$",2444,"Steakhouses"
"25","Juliana's Pizza",4.5,40.7026153030093,-73.9934159993549,"$$",1844,"Pizza"
"26","Eleven Madison Park",4.5,40.7416907417333,-73.9872074872255,"$$$$",1927,"American (New) French Cocktail Bars"
"27","Amélie",4.5,40.7327,-73.99766,"$$",2257,"French Wine Bars"
"28","Joe's Shanghai",4,40.7146691442891,-73.9977602206654,"$$",5509,"Shanghainese Seafood Venues & Event Spaces"
"29","Taiyaki NYC",4.5,40.71789,-73.9988,"$",2321,"Ice Cream & Frozen Yogurt"
"30","Russ & Daughters",4.5,40.7226090288773,-73.9882828294139,"$$",1874,"Bagels Smokehouse"
"31","Thai Villa",4.5,40.73902,-73.99065,"$$",2118,"Thai Asian Fusion Vegetarian"
"32","Jacob's Pickles",4,40.7866504411994,-73.9755284786224,"$$",3403,"Comfort Food Southern American (Traditional)"
"33","Del Frisco's Double Eagle Steakhouse",4.5,40.75937,-73.98209,"$$$$",2638,"Steakhouses American (New) Seafood"
"34","Dough",4.5,40.6890699083996,-73.957078,"$",1670,"Donuts Coffee & Tea"
"35","Upstate",4.5,40.7263139141197,-73.9864901976935,"$$",1617,"Seafood Wine Bars Beer Bar"
