"","Name","Rating","latitude","longitude","price","review_count","categories"
"1","Bi-Rite Creamery",4.5,37.7615877,-122.4257548,"$",9409,"Ice Cream & Frozen Yogurt Bakeries"
"2","Brenda's French Soul Food",4,37.7829016035273,-122.419043442957,"$$",10008,"Breakfast & Brunch French Soul Food"
"3","Gary Danko",4.5,37.80587,-122.42058,"$$$$",5208,"American (New) French Wine Bars"
"4","Tartine Bakery & Cafe",4,37.7614250022004,-122.424051321456,"$$",7471,"Bakeries Cafes Desserts"
"5","Mitchell's Ice Cream",4.5,37.7442315,-122.422816,"$",3746,"Ice Cream & Frozen Yogurt Custom Cakes"
"6","Hog Island Oyster Co",4.5,37.795831,-122.393303,"$$",5426,"Seafood Seafood Markets Live/Raw Food"
"7","House of Prime Rib",4,37.79338,-122.4225,"$$$",6625,"American (Traditional) Steakhouses Wine Bars"
"8","Burma Superstar",4,37.782787322998,-122.462539672852,"$$",6372,"Burmese"
"9","The House",4.5,37.7986203,-122.4070251,"$$$",4459,"Asian Fusion"
"10","Kokkari Estiatorio",4.5,37.796996,-122.399661,"$$$",4243,"Greek Mediterranean"
"11","Nopa",4,37.77483,-122.43746,"$$$",4844,"American (New) Modern European Desserts"
"12","San Tung",4,37.76367,-122.46896,"$$",6289,"Chinese Chicken Wings Noodles"
"13","El Farolito",4,37.75265,-122.41812,"$",4551,"Mexican"
"14","B Patisserie",4.5,37.78783,-122.44073,"$$",2175,"Bakeries Patisserie/Cake Shop Macarons"
"15","Zazie",4,37.765244,-122.4501138,"$$",4094,"Breakfast & Brunch French"
"16","Fog Harbor Fish House",4,37.80885,-122.41023,"$$",4794,"Seafood Bars"
"17","Saigon Sandwich",4.5,37.7831519576568,-122.417318022037,"$",3089,"Vietnamese Sandwiches"
"18","Foreign Cinema",4,37.75637,-122.41925,"$$$",4556,"Breakfast & Brunch Mediterranean Cocktail Bars"
"19","Golden Boy Pizza",4.5,37.7997956,-122.4080729,"$",3117,"Pizza Italian"
"20","Golden Gate Bakery",4.5,37.79633,-122.40703,"$",3118,"Bakeries"
"21","Liholiho Yacht Club",4.5,37.78818,-122.41458,"$$$",1951,"Bars American (New) Seafood"
"22","Little Star Pizza",4.5,37.77753,-122.43798,"$$",2781,"Pizza"
"23","Sotto Mare Oysteria & Seafood",4.5,37.79979,-122.40834,"$$",3286,"Seafood Italian Bars"
"24","Sweet Maple",4,37.785735681426,-122.43507770852,"$$",3139,"American (Traditional) Breakfast & Brunch Sandwiches"
"25","Tony's Pizza Napoletana",4,37.8003315377662,-122.409053979377,"$$",4371,"Pizza Italian Cocktail Bars"
"26","Humphry Slocombe Ice Cream",4,37.75279,-122.4122,"$",3307,"Ice Cream & Frozen Yogurt"
"27","Mama's On Washington Square",4,37.801606,-122.409599,"$$",3985,"Breakfast & Brunch"
"28","Chapeau",4.5,37.78327,-122.46066,"$$$",2595,"French Wine Bars"
"29","The Codmother Fish and Chips",4.5,37.8072702557489,-122.417093771758,"$",2749,"British Fish & Chips Seafood"
"30","La Taqueria",4,37.750883,-122.418123,"$",3655,"Mexican"
"31","Bob's Donut & Pastry Shop",4.5,37.79185,-122.42128,"$",2729,"Bakeries Donuts"
"32","Espetus Brazilian Steak House",4,37.7733327504928,-122.422131667494,"$$$",3205,"Steakhouses Latin American Brazilian"
"33","Arizmendi Bakery",4.5,37.7633882,-122.4664991,"$",1820,"Bakeries Pizza"
"34","Dottie's True Blue Cafe",4,37.7817050429594,-122.409839630127,"$$",4162,"American (Traditional) Breakfast & Brunch Cafes"
