"","Name","Rating","latitude","longitude","price","review_count","categories"
"1","Pike Place Chowder",4.5,47.60939,-122.34112,"$$",6341,"Seafood Soup"
"2","Piroshky Piroshky",4.5,47.60991,-122.34231,"$",5539,"Bakeries Russian"
"3","Paseo Caribbean Food - Fremont",4.5,47.65849,-122.35031,"$",4839,"Caribbean Sandwiches Caterers"
"4","Ellenos Real Greek Yogurt",5,47.608912,-122.34058,"$",1607,"Ice Cream & Frozen Yogurt"
"5","The Pink Door",4.5,47.61028,-122.3425,"$$",4043,"Italian Wine Bars Seafood"
"6","The Crumpet Shop",4.5,47.60899,-122.34044,"$",2104,"Bakeries Coffee & Tea Breakfast & Brunch"
"7","Lola",4,47.6132519777742,-122.340060726984,"$$",3554,"Greek Mediterranean Breakfast & Brunch"
"8","Starbucks Reserve Roastery & Tasting Room",4.5,47.6140014481935,-122.328058406711,"$$",2236,"Coffee & Tea Coffee Roasteries"
"9","Japonessa Sushi Cocina",4,47.60809,-122.33899,"$$",4142,"Japanese Sushi Bars"
"10","Serious Pie",4,47.61296,-122.34047,"$$",3838,"Pizza"
"11","Le Panier French Bakery",4.5,47.6098933070898,-122.342474609613,"$",2129,"Bakeries Sandwiches Patisserie/Cake Shop"
"12","Beecher's Handmade Cheese",4,47.60963,-122.34179,"$",2440,"Cheese Shops Sandwiches"
"13","Storyville Coffee Company",4.5,47.6088847,-122.3403957,"$$",1307,"Coffee & Tea"
"14","Toulouse Petit Kitchen & Lounge",4,47.624851,-122.357127,"$$",3628,"Cajun/Creole Bars"
"15","Biscuit Bitch",4,47.61034,-122.34167,"$",3052,"Breakfast & Brunch Coffee & Tea Sandwiches"
"16","Umi Sake House",4,47.61339,-122.34597,"$$",3180,"Sushi Bars Japanese"
"17","Tacos Chukis",4.5,47.620570445175,-122.321262359619,"$",1402,"Mexican"
"18","Shiro's",4.5,47.6147782162181,-122.347327076057,"$$$",1933,"Sushi Bars Japanese"
"19","Salumi Artisan Cured Meats",4.5,47.5989911,-122.3326582,"$$",1302,"Italian Sandwiches Meat Shops"
"20","Elliott's Oyster House",4,47.6054699,-122.34092,"$$$",3054,"Seafood"
"21","List",4.5,47.61334,-122.34587,"$$",1671,"Italian Tapas/Small Plates Cocktail Bars"
"22","Tilikum Place Cafe",4,47.617982,-122.347691,"$$",1758,"American (New) Breakfast & Brunch"
"23","Bakery Nouveau",4.5,47.5600625713343,-122.386938181065,"$$",1257,"Bakeries Sandwiches Patisserie/Cake Shop"
"24","Il Corvo Pasta",4.5,47.60244,-122.33165,"$$",998,"Italian Noodles Pasta Shops"
"25","Molly Moon's Homemade Ice Cream",4,47.615174,-122.319911,"$",1762,"Ice Cream & Frozen Yogurt"
"26","Pie Bar",4.5,47.6168122,-122.3274386,"$$",1221,"Cocktail Bars Desserts"
"27","Purple Café and Wine Bar",4,47.60795,-122.33508,"$$$",2171,"American (New) Wine Bars Desserts"
"28","Din Tai Fung",4,47.66164,-122.29921,"$$",1904,"Taiwanese Shanghainese Dim Sum"
"29","Un Bien",4.5,47.6816885778588,-122.37663764418,"$$",858,"Cuban Caribbean Sandwiches"
"30","Local 360",4,47.61345,-122.34609,"$$",2900,"American (New) Cocktail Bars"
"31","Radiator Whiskey",4.5,47.60888,-122.34036,"$$",1088,"American (New) Cocktail Bars"
"32","Bakery Nouveau",4.5,47.6195513808201,-122.312891077337,"$",884,"Bakeries Cafes Patisserie/Cake Shop"
